A20098-1_sergeant,1_sergeant
A20098-2_servant,2_servant
A20098-allum,Allum
A20098-bawd,bawd
A20098-bellamont,Bellamont
A20098-bellamont_and_mayberry,####
A20098-both,####
A20098-captain,captain
A20098-chamberlain,chamberlain
A20098-chartley,Chartley
A20098-chartley_and_leverpool,####
A20098-doll,Doll
A20098-drawer,drawer
A20098-featherstone,Featherstone
A20098-featherstone_and_greenshield,####
A20098-frog,Leapfrog
A20098-full-moon,Full-moon
A20098-greenshield,Greenshield
A20098-hans,Hans
A20098-hleveri,Leverpool
A20098-hornet,Hornet
A20098-hostess,hostess
A20098-kate,Kate
A20098-leapfrog,Leapfrog
A20098-lever,Leverpool
A20098-mabel,Mayberry
A20098-mayberry,Mayberry
A20098-mrs_mayberry,mrs_Mayberry
A20098-musician,musician
A20098-omnes,####
A20098-philip,Philip
A20098-prentice,prentice
A20098-rat,Kate
A20098-1_servant,1_servant
A20098-servant_1,1_sergeant
A20098-servant_2,2_sergeant
A20098-squirrel,squirrel
A20098-taylor,tailor
A20098-wife,mrs_Mayberry
act,####
act_and_scene,####
machine-generated_castlist,####
textual_notes,####
title_page,####
