,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,Bardolph,Betweeness,361,20,14,6,0.128
1,Bullcalf,Equal,122,26,26,0,0.0
2,Chief_Justice,Words,1261,6,13,7,0.149
3,Clarence,Betweeness,209,24,22,2,0.043
4,Colevile,Betweeness,69,33,26,7,0.149
5,Davy,Words,307,21,25,4,0.085
6,Doll,Betweeness,669,12,10,2,0.043
7,Falstaff,Equal,5740,1,1,0,0.0
8,Feeble,Betweeness,106,28,26,2,0.043
9,Francis,Betweeness,65,35,5,30,0.638
10,Gloucester,Betweeness,142,25,24,1,0.021
11,Harcourt,Betweeness,67,34,26,8,0.17
12,King_Henry_IV,Words,2365,3,6,3,0.064
13,Lady_Northumberland,Betweeness,42,38,26,12,0.255
14,Lady_Percy,Words,376,19,26,7,0.149
15,Lancaster,Words,910,8,9,1,0.021
16,Lord_Bardolph,Betweeness,691,11,8,3,0.064
17,Lord_Hastings,Betweeness,442,18,7,11,0.234
18,Lord_Mowbray,Words,455,17,19,2,0.043
19,Master_Gower,Betweeness,65,35,26,9,0.191
20,Master_Silence,Words,285,22,25,3,0.064
21,Morton,Words,643,13,26,13,0.277
22,Mouldy,Betweeness,104,29,26,3,0.064
23,Northumberland,Betweeness,870,10,2,8,0.17
24,Peto,Betweeness,51,37,26,11,0.234
25,Pistol,Words,612,14,16,2,0.043
26,Poins,Words,504,16,26,10,0.213
27,Prince_Hal,Words,2594,2,4,2,0.043
28,Shadow,Betweeness,12,45,26,19,0.404
29,Shallow,Words,1682,4,15,11,0.234
30,Travers,Betweeness,115,27,26,1,0.021
31,Wart,Betweeness,10,46,26,20,0.426
32,Warwick,Words,608,15,17,2,0.043
33,Westmoreland,Words,894,9,18,9,0.191
34,Will,Betweeness,38,39,26,13,0.277
35,archbishop,Words,1125,7,12,5,0.106
36,beadle,Betweeness,76,31,21,10,0.213
37,drawer_first,Betweeness,72,32,26,6,0.128
38,drawer_second,Betweeness,14,44,26,18,0.383
39,groom_first,Betweeness,20,43,11,32,0.681
40,groom_second,Betweeness,7,47,26,21,0.447
41,hostess,Betweeness,1480,5,3,2,0.043
42,messenger,Betweeness,36,40,26,14,0.298
43,officer_Fang,Betweeness,56,36,20,16,0.34
44,officer_Snare,Betweeness,25,42,26,16,0.34
45,page,Equal,235,23,23,0,0.0
46,porter,Betweeness,35,41,26,15,0.319
47,servant,Betweeness,95,30,26,4,0.085
