,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_creditor,Words,1189,6,7,1,0.028
1,2_creditor,Words,388,9,19,10,0.278
2,2_servant,Betweeness,13,31,20,11,0.306
3,3_creditor,Words,241,14,20,6,0.167
4,Arthur,Betweeness,5,34,20,14,0.389
5,Audrey,Words,262,13,15,2,0.056
6,Dampit,Betweeness,1152,7,6,1,0.028
7,George,Betweeness,77,21,18,3,0.083
8,Gulf,Betweeness,92,20,17,3,0.083
9,Hoard,Betweeness,2851,3,1,2,0.056
10,Kix,Betweeness,24,28,20,8,0.222
11,Lady,Betweeness,17,29,20,9,0.25
12,Lamprey,Betweeness,341,11,8,3,0.083
13,Lancelot,Words,486,8,9,1,0.028
14,Limber,Betweeness,31,27,20,7,0.194
15,Lucre,Words,3136,2,3,1,0.028
16,Moneylove,Words,284,12,14,2,0.056
17,Niece,Betweeness,167,16,10,6,0.167
18,Onesiphorus,Words,106,19,20,1,0.028
19,Sam,Words,380,10,11,1,0.028
20,Spichcock,Betweeness,43,24,20,4,0.111
21,Witgood,Words,3757,1,2,1,0.028
22,barber,Betweeness,5,34,20,14,0.389
23,bartender_William,Betweeness,8,33,20,13,0.361
24,boy,Betweeness,51,22,13,9,0.25
25,courtesan,Words,1650,4,5,1,0.028
26,drawer,Betweeness,122,18,4,14,0.389
27,falconer,Betweeness,15,30,20,10,0.278
28,host,Words,1238,5,12,7,0.194
29,huntsman,Betweeness,15,30,20,10,0.278
30,perfumer,Betweeness,12,32,20,12,0.333
31,scrivener,Words,164,17,20,3,0.083
32,servant,Betweeness,48,23,20,3,0.083
33,song,Betweeness,38,26,20,6,0.167
34,tailor,Betweeness,12,32,20,12,0.333
35,vintner,Betweeness,41,25,16,9,0.25
36,wife,Words,215,15,20,5,0.139
