,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,2_customer,Betweeness,28,30,22,8,0.235
1,4_customer,Betweeness,32,29,24,5,0.147
2,5_customer,Betweeness,5,35,24,11,0.324
3,Almanach,Words,712,12,16,4,0.118
4,Band,Betweeness,160,23,14,9,0.265
5,Broker,Betweeness,686,13,12,1,0.029
6,Censure,Betweeness,543,16,4,12,0.353
7,Cymbal,Words,1170,9,15,6,0.176
8,Expectation,Words,387,17,24,7,0.206
9,Fitton,Words,1223,8,9,1,0.029
10,Leatherleg,Betweeness,7,34,24,10,0.294
11,Lickfinger,Equal,1312,5,5,0,0.0
12,Madrigal,Words,554,15,19,4,0.118
13,Mirth,Words,1293,6,10,4,0.118
14,Mortgage,Betweeness,44,27,20,7,0.206
15,Pecunia,Betweeness,826,10,3,7,0.206
16,Pennyboy_Canter,Words,2469,3,8,5,0.147
17,Pennyboy_junior,Equal,4636,1,1,0,0.0
18,Pennyboy_senior,Equal,4010,2,2,0,0.0
19,Picklock,Words,1828,4,13,9,0.265
20,Pyedmantle,Words,262,20,23,3,0.088
21,Shunfield,Words,673,14,19,5,0.147
22,Statute,Betweeness,185,22,17,5,0.147
23,Tatle,Betweeness,798,11,6,5,0.147
24,Thomas,Equal,1254,7,7,0,0.0
25,Wax,Betweeness,61,26,18,8,0.235
26,bookholder,Betweeness,15,33,24,9,0.265
27,clerk,Betweeness,68,25,21,4,0.118
28,dopper,Equal,75,24,24,0,0.0
29,fashioner,Words,307,19,24,5,0.147
30,haberdasher,Betweeness,16,32,24,8,0.235
31,porter,Betweeness,37,28,24,4,0.118
32,prologue,Words,232,21,24,3,0.088
33,register,Betweeness,314,18,11,7,0.206
34,spurrier,Betweeness,19,31,24,7,0.206
