Source,Type,Target,Weight
Bohan,undirected,Oberon,50
Bohan,undirected,Slipper,2
King_Scot,undirected,Oberon,1
King_Eng,undirected,King_Scot,12
Dorothea,undirected,King_Scot,9
Dorothea,undirected,King_Eng,5
Countess,undirected,King_Scot,2
Ida,undirected,King_Scot,14
Ateukin,undirected,King_Scot,46
Andrew,undirected,Ateukin,25
Andrew,undirected,Slipper,13
Nano,undirected,Slipper,4
Andrew,undirected,Nano,5
Ateukin,undirected,Slipper,37
Ateukin,undirected,Nano,6
Ateukin,undirected,Bartram,1
Bartram,undirected,Eustace,10
1_servant,undirected,Bartram,2
Bartram,undirected,Bohan,2
Countess,undirected,Oberon,1
Countess,undirected,Ida,18
Countess,undirected,Eustace,10
Eustace,undirected,Ida,23
Ateukin,undirected,Countess,5
Countess,undirected,Slipper,5
Ateukin,undirected,Ida,20
Eustace,undirected,Slipper,1
Ateukin,undirected,bishop_Andrews,1
Douglas,undirected,bishop_Andrews,2
Douglas,undirected,Morton,1
Dorothea,undirected,Morton,1
Dorothea,undirected,Nano,67
Nano,undirected,bishop_Andrews,1
Morton,undirected,bishop_Andrews,2
Dorothea,undirected,Douglas,3
Dorothea,undirected,bishop_Andrews,6
King_Scot,undirected,Nano,7
Douglas,undirected,King_Scot,2
King_Scot,undirected,Morton,2
King_Scot,undirected,bishop_Andrews,4
Ateukin,undirected,Bohan,1
Bartram,undirected,Slipper,21
Slipper,undirected,purveyor,1
Andrew,undirected,purveyor,16
Jaques,undirected,purveyor,3
Andrew,undirected,Jaques,13
Ateukin,undirected,Jaques,15
Dorothea,undirected,Jaques,5
Bartram,undirected,Dorothea,8
Dorothea,undirected,Ross,9
Bartram,undirected,Nano,2
Nano,undirected,Ross,1
Ateukin,undirected,huntsman,3
Countess,undirected,huntsman,4
Eustace,undirected,huntsman,3
Ida,undirected,huntsman,2
Eustace,undirected,ladies,1
Countess,undirected,ladies,1
Ida,undirected,Jaques,1
Slipper,undirected,tailor,14
Slipper,undirected,shoemaker,8
Slipper,undirected,cutler,10
Dorothea,undirected,Slipper,1
Douglas,undirected,Nano,2
Jaques,undirected,Nano,1
Jaques,undirected,Sir_Cuthbert_Anderson,1
Nano,undirected,Sir_Cuthbert_Anderson,6
Jaques,undirected,King_Scot,1
Andrew,undirected,Oberon,1
Lady_Anderson,undirected,Oberon,1
Dorothea,undirected,Lady_Anderson,27
Lady_Anderson,undirected,Nano,18
Dorothea,undirected,Sir_Cuthbert_Anderson,6
Lady_Anderson,undirected,Sir_Cuthbert_Anderson,2
Ateukin,undirected,Dorothea,1
Ateukin,undirected,King_Eng,1
Douglas,undirected,King_Eng,6
King_Eng,undirected,lawyer,1
lawyer,undirected,merchant,4
divine,undirected,lawyer,2
lawyer,undirected,scout,1
divine,undirected,scout,1
Dorothea,undirected,divine,1
Andrew,undirected,King_Scot,7
King_Scot,undirected,Slipper,7
King_Eng,undirected,Sir_Cuthbert_Anderson,5
King_Scot,undirected,Sir_Cuthbert_Anderson,4
